NomeIntesta;idEEFattura;dtIniz;annoComp;meseComp;tipoSpesa;prezzoUnit;quantita;importo
"alessandro";1723;"2021-02-01";2021;"2021-02";"P";0,81;4,50;3,65
"alessandro";1723;"2021-02-01";2021;"2021-02";"R";0,06;94,00;5,56
"alessandro";1724;"2019-11-01";2019;"2019-11";"E1";0,09;158,00;14,13
"alessandro";1725;"2022-03-01";2022;"2022-03";"E1";0,11;163,00;18,23
"alessandro";1726;"2022-05-01";2022;"2022-05";"E1";0,11;204,00;22,81
"alessandro";1724;"2019-11-01";2019;"2019-11";"E2";0,19;78,00;14,78
"alessandro";1725;"2022-03-01";2022;"2022-03";"E2";0,26;152,00;38,89
"alessandro";1726;"2022-05-01";2022;"2022-05";"E2";0,26;44,00;11,26
"alessandro";1724;"2019-11-01";2019;"2019-11";"P";0,87;4,50;3,91
"alessandro";1726;"2022-05-01";2022;"2022-05";"P";0,90;4,50;4,04
"alessandro";1725;"2022-03-01";2022;"2022-03";"P";0,90;4,50;4,04
"alessandro";1724;"2019-11-01";2019;"2019-11";"R";0,06;236,00;13,95
"alessandro";1726;"2022-05-01";2022;"2022-05";"R";0,06;248,00;14,66
"alessandro";1725;"2022-03-01";2022;"2022-03";"R";0,06;315,00;18,63
"alessandro";1724;"2019-12-01";2019;"2019-12";"E1";0,09;163,00;14,58
"alessandro";1725;"2022-04-01";2022;"2022-04";"E1";0,11;158,00;17,67
"alessandro";1726;"2022-06-01";2022;"2022-06";"E1";0,11;197,00;22,03
"alessandro";1724;"2019-12-01";2019;"2019-12";"E2";0,19;246,00;46,62
"alessandro";1726;"2022-06-01";2022;"2022-06";"E2";0,26;49,00;12,54
"alessandro";1725;"2022-04-01";2022;"2022-04";"E2";0,26;99,00;25,33
"alessandro";1724;"2019-12-01";2019;"2019-12";"P";0,90;4,50;4,04
"alessandro";1726;"2022-06-01";2022;"2022-06";"P";0,87;4,50;3,91
"alessandro";1725;"2022-04-01";2022;"2022-04";"P";0,87;4,50;3,91
"alessandro";1724;"2019-12-01";2019;"2019-12";"R";0,06;409,00;24,18
"alessandro";1726;"2022-06-01";2022;"2022-06";"R";0,06;246,00;14,55
"alessandro";1725;"2022-04-01";2022;"2022-04";"R";0,06;180,00;10,64
"alessandro";1727;"2021-05-01";2021;"2021-05";"E1";0,09;163,00;14,58
"alessandro";1727;"2021-05-01";2021;"2021-05";"E2";0,19;94,00;17,81
"alessandro";1727;"2021-05-01";2021;"2021-05";"P";0,90;4,50;4,04
"alessandro";1727;"2021-05-01";2021;"2021-05";"R";0,06;257,00;15,20
"alessandro";1727;"2021-06-01";2021;"2021-06";"E1";0,09;158,00;14,13
"alessandro";1727;"2021-06-01";2021;"2021-06";"E2";0,19;47,00;8,91
"alessandro";1727;"2021-06-01";2021;"2021-06";"P";0,87;4,50;3,91
"alessandro";1727;"2021-06-01";2021;"2021-06";"R";0,06;205,00;12,12
"alessandro";1728;"2021-09-01";2021;"2021-09";"E1";0,09;158,00;14,13
"alessandro";1728;"2021-09-01";2021;"2021-09";"E2";0,19;46,00;8,72
"alessandro";1728;"2021-09-01";2021;"2021-09";"P";0,87;4,50;3,91
"alessandro";1728;"2021-09-01";2021;"2021-09";"R";0,06;204,00;12,06
"alessandro";1728;"2021-10-01";2021;"2021-10";"E1";0,09;163,00;14,58
"alessandro";1728;"2021-10-01";2021;"2021-10";"E2";0,19;142,00;26,91
"alessandro";1728;"2021-10-01";2021;"2021-10";"P";0,90;4,50;4,04
"alessandro";1728;"2021-10-01";2021;"2021-10";"R";0,06;305,00;18,03
"alessandro";1729;"2021-07-01";2021;"2021-07";"E1";0,09;163,00;14,58
"alessandro";1729;"2021-07-01";2021;"2021-07";"E2";0,19;44,00;8,34
"alessandro";1729;"2021-07-01";2021;"2021-07";"P";0,90;4,50;4,04
"alessandro";1729;"2021-07-01";2021;"2021-07";"R";0,06;207,00;12,24
"alessandro";1729;"2021-08-01";2021;"2021-08";"E1";0,09;163,00;14,58
"alessandro";1729;"2021-08-01";2021;"2021-08";"E2";0,19;4,00;0,76
"alessandro";1729;"2021-08-01";2021;"2021-08";"P";0,90;4,50;4,04
"alessandro";1729;"2021-08-01";2021;"2021-08";"R";0,06;167,00;9,87
"alessandro";1730;"2021-03-01";2021;"2021-03";"E1";0,09;163,00;14,58
"alessandro";1730;"2021-03-01";2021;"2021-03";"E2";0,19;146,00;27,67
"alessandro";1730;"2021-03-01";2021;"2021-03";"P";0,90;4,50;4,04
"alessandro";1730;"2021-03-01";2021;"2021-03";"R";0,06;309,00;18,27
"alessandro";1730;"2021-04-01";2021;"2021-04";"E1";0,09;158,00;14,13
"alessandro";1730;"2021-04-01";2021;"2021-04";"E2";0,19;125,00;23,69
